_id__$oid,battery,height,volume,temperature,ReadingDateTime,environment,DATE,TIME,HOUR,,Hourly_averge_flow ,,
5da557002d5503000d3119b8,null,89,8900,null,2:37:14 AM,,10/18/2019,2:37:14 AM,2,2:37 AM,8850,,89
5da559582d5503000d3119c6,null,88,8800,null,3:37:14 AM,,10/18/2019,3:37:14 AM,3,3:37 AM,9350,,88
5da55bb02d5503000d3119dc,null,99,9900,null,4:37:14 AM,,10/18/2019,4:37:14 AM,4,4:37 AM,9350,,99
5da55e082d5503000d3119ec,null,88,8800,null,5:37:14 AM,,10/18/2019,5:37:14 AM,5,5:37 AM,8950,,88
5da560612d5503000d3119f8,null,91,9100,null,6:37:14 AM,,10/18/2019,6:37:14 AM,6,6:37 AM,8900,,91
5da562b92d5503000d311a0c,null,87,8700,null,7:37:14 AM,,10/18/2019,7:37:14 AM,7,7:37 AM,8700,,87
5da565142d5503000d311a22,null,87,8700,null,8:37:14 AM,,10/18/2019,8:37:14 AM,8,8:37 AM,8700,,87
5da567682d5503000d311a32,null,87,8700,null,9:37:14 AM,,10/18/2019,9:37:14 AM,9,9:37 AM,9350,,87
5da569c02d5503000d311a46,null,100,10000,null,10:37:14 AM,,10/18/2019,10:37:14 AM,10,10:37 AM,9300,,100
5da56c182d5503000d311a58,null,86,8600,null,11:37:14 AM,,10/18/2019,11:37:14 AM,11,11:37 AM,8600,,86
5da56e702d5503000d311a68,null,86,8600,null,12:37:14 PM,,10/18/2019,12:37:14 PM,12,12:37 PM,8600,,86
5da570c92d5503000d311a78,null,86,8600,null,1:37:14 PM,,10/18/2019,1:37:14 PM,13,1:37 PM,8600,,86
5da573202d5503000d311a8a,null,86,8600,null,2:37:14 PM,,10/18/2019,2:37:14 PM,14,2:37 PM,8600,,86
5da5757d2d5503000d311a98,null,86,8600,null,3:37:14 PM,,10/18/2019,3:37:14 PM,15,3:37 PM,8600,,86
5da577d02d5503000d311aaa,null,86,8600,null,4:37:14 PM,,10/18/2019,4:37:14 PM,16,4:37 PM,8750,,86
5da57a2a2d5503000d311ac0,null,89,8900,null,5:37:14 PM,,10/18/2019,5:37:14 PM,17,5:37 PM,8750,,89
5da57c802d5503000d311acc,null,86,8600,null,6:37:14 PM,,10/18/2019,6:37:14 PM,18,6:37 PM,8600,,86
5da57edb2d5503000d311ae0,null,86,8600,null,7:37:14 PM,,10/18/2019,7:37:14 PM,19,7:37 PM,8650,,86
5da581312d5503000d311af4,null,87,8700,null,8:37:14 PM,,10/18/2019,8:37:14 PM,20,8:37 PM,8750,,87
5da583892d5503000d311b02,null,88,8800,null,9:37:14 PM,,10/18/2019,9:37:14 PM,21,9:37 PM,8850,,88
5da585e42d5503000d311b14,null,89,8900,null,10:37:14 PM,,10/18/2019,10:37:14 PM,22,10:37 PM,8950,,89
5da588382d5503000d311b28,null,90,9000,null,11:37:14 PM,,10/18/2019,11:37:14 PM,23,11:37 PM,9100,,90
5da58a902d5503000d311b34,null,92,9200,null,12:37:14 AM,,10/19/2019,12:37:14 AM,0,12:37 AM,9300,,92
5da58ce92d5503000d311b48,null,94,9400,null,1:37:14 AM,,10/19/2019,1:37:14 AM,1,1:37 AM,9600,,94
5da58f402d5503000d311b58,null,98,9800,null,2:37:14 AM,,10/19/2019,2:37:14 AM,2,2:37 AM,9700,,98
5da591992d5503000d311b68,null,96,9600,null,3:37:14 AM,,10/19/2019,3:37:14 AM,3,3:37 AM,9650,,96
5da593f12d5503000d311b7c,null,97,9700,null,4:37:14 AM,,10/19/2019,4:37:14 AM,4,4:37 AM,9750,,97
5da5964c2d5503000d311b90,null,98,9800,null,5:37:14 AM,,10/19/2019,5:37:14 AM,5,5:37 AM,9800,,98
5da598a02d5503000d311bb2,null,98,9800,null,6:37:14 AM,,10/19/2019,6:37:14 AM,6,6:37 AM,9800,,98
5da59af82d5503000d311bc8,null,98,9800,null,7:37:14 AM,,10/19/2019,7:37:14 AM,7,7:37 AM,9750,,98
5da59d502d5503000d311bd8,null,97,9700,null,8:37:14 AM,,10/19/2019,8:37:14 AM,8,8:37 AM,9650,,97
5da59fa92d5503000d311be6,null,96,9600,null,9:37:14 AM,,10/19/2019,9:37:14 AM,9,9:37 AM,9550,,96
5da5a2002d5503000d311bf6,null,95,9500,null,10:37:14 AM,,10/19/2019,10:37:14 AM,10,10:37 AM,9450,,95
5da5a4592d5503000d311c0c,null,94,9400,null,11:37:14 AM,,10/19/2019,11:37:14 AM,11,11:37 AM,9300,,94
5da5a6b42d5503000d311c1a,null,92,9200,null,12:37:14 PM,,10/19/2019,12:37:14 PM,12,12:37 PM,9150,,92
5da5a9082d5503000d311c2c,null,91,9100,null,1:37:14 PM,,10/19/2019,1:37:14 PM,13,1:37 PM,9100,,91
5da5ab602d5503000d311c40,null,91,9100,null,2:37:14 PM,,10/19/2019,2:37:14 PM,14,2:37 PM,9050,,91
5da5adb92d5503000d311c48,null,90,9000,null,3:37:14 PM,,10/19/2019,3:37:14 PM,15,3:37 PM,8950,,90
5da5b0102d5503000d311c60,null,89,8900,null,4:37:14 PM,,10/19/2019,4:37:14 PM,16,4:37 PM,8850,,89
5da5b2692d5503000d311c74,null,88,8800,null,5:37:14 PM,,10/19/2019,5:37:14 PM,17,5:37 PM,8750,,88
5da5b4c02d5503000d311c80,null,87,8700,null,6:37:14 PM,,10/19/2019,6:37:14 PM,18,6:37 PM,8650,,87
5da5b71c2d5503000d311c98,null,86,8600,null,7:37:14 PM,,10/19/2019,7:37:14 PM,19,7:37 PM,8650,,86
5da5b9702d5503000d311ca8,null,87,8700,null,8:37:14 PM,,10/19/2019,8:37:14 PM,20,8:37 PM,8700,,87
5da5bbc82d5503000d311cba,null,87,8700,null,9:37:14 PM,,10/19/2019,9:37:14 PM,21,9:37 PM,8700,,87
5da5be212d5503000d311cd0,null,87,8700,null,10:37:14 PM,,10/19/2019,10:37:14 PM,22,10:37 PM,8700,,87
5da5c0782d5503000d311ce2,null,87,8700,null,11:37:14 PM,,10/19/2019,11:37:14 PM,23,11:37 PM,8700,,87
5da5c2d02d5503000d311cf4,null,87,8700,null,12:37:14 AM,,10/20/2019,12:37:14 AM,0,12:37 AM,8750,,87
5da5c5292d5503000d311d0a,null,88,8800,null,1:37:14 AM,,10/20/2019,1:37:14 AM,1,1:37 AM,8800,,88
5da5c7832d5503000d311d1c,null,88,8800,null,2:37:14 AM,,10/20/2019,2:37:14 AM,2,2:37 AM,8800,,88
5da5cc302d5503000d311d40,null,88,8800,null,3:37:14 AM,,10/20/2019,3:37:14 AM,3,3:37 AM,8850,,88
5da5d0e02d5503000d311d60,null,89,8900,null,4:37:14 AM,,10/20/2019,4:37:14 AM,4,4:37 AM,9350,,89
5da5d3392d5503000d311d70,null,98,9800,null,5:37:14 AM,,10/20/2019,5:37:14 AM,5,5:37 AM,9950,,98
5da5d5902d5503000d311d80,null,101,10100,null,6:37:14 AM,,10/20/2019,6:37:14 AM,6,6:37 AM,9500,,101
5da5d7ed2d5503000d311d90,null,89,8900,null,7:37:14 AM,,10/20/2019,7:37:14 AM,7,7:37 AM,8900,,89
5da5da402d5503000d311da6,null,89,8900,null,8:37:14 AM,,10/20/2019,8:37:14 AM,8,8:37 AM,8900,,89
5da5dc982d5503000d311db2,null,89,8900,null,9:37:14 AM,,10/20/2019,9:37:14 AM,9,9:37 AM,8950,,89
